room_id,room_type,room_name,description,amenities,images,utility_worker,utility_fee,capacity,rate,created_at,updated_at,deleted_at
be30be14-0bc2-4dd2-b879-898859742325,Lecture Hall,ICS Mega Hall,"Reserve ICS Mega Hall for your next event! With standard amenities and a functional layout, it is an ideal space for formal events. Equipped with basic seating and audiovisual resources, it provides a simple yet practical setting for successful gatherings.","{""Air Conditioning"",""Sound System"",""LCD Projector and Screen"",""Desktop Computer Running Linux""}","{""room images/ICS Mega Hall_0b69a1ec""}",Reggie Pelayo,200.00,220,1650.00,2024-05-02 08:55:01.440489+08,2024-05-02 20:08:06.994+08,
2511587a-59b2-4b07-a844-d83f40597ff5,Lecture Hall,ICS Lecture Hall 3,"Reserve Lecture Hall 3 for your next event! With standard amenities and a functional layout, it is an ideal space for formal events. Equipped with basic seating and audiovisual resources, it provides a simple yet practical setting for successful gatherings.","{""Air Conditioning"",""Sound System"",""LCD Projector and Screen"",""Desktop Computer Running Linux""}","{""room images/ICS Lecture Hall 3_13230d5f""}",Romel Lawas,200.00,110,825.00,2024-05-02 08:55:01.440489+08,2024-05-02 20:18:16.21+08,
8dbd295d-f4ab-4311-868c-140a64f9a05e,Lecture Hall,ICS Lecture Hall 4,"Reserve Lecture Hall 4 for your next event! With standard amenities and a functional layout, it is an ideal space for formal events. Equipped with basic seating and audiovisual resources, it provides a simple yet practical setting for successful gatherings.","{""Air Conditioning"",""Sound System"",""LCD Projector and Screen"",""Desktop Computer Running Linux""}","{""room images/ICS Lecture Hall 4_ff63bdcd""}",Romel Lawas,200.00,110,825.00,2024-05-02 08:55:01.440489+08,2024-05-02 20:25:06.628+08,
89d7ac01-eedd-41dd-b741-1b5f27cd92c3,PC Laboratory,PC Lab C100,"Reserve PC Lab C100 for your next event! With standard amenities and a functional layout, it is an ideal space for formal events. Equipped with basic seating and audiovisual resources, it provides a simple yet practical setting for successful gatherings.","{""Air Conditioning"",""Desktop Computers"",""LCD Projector and Screen""}","{""room images/PC Lab C100_fcf4b4e5""}",Romel Lawas,200.00,24,120.00,2024-05-02 08:55:01.440489+08,2024-05-02 20:26:27.459+08,
4f1dc471-d0b9-4215-986b-4d59e72506f5,PC Laboratory,PC Lab 1,"Reserve PC Lab 1 for your next event! With standard amenities and a functional layout, it is an ideal space for formal events. Equipped with basic seating and audiovisual resources, it provides a simple yet practical setting for successful gatherings.","{""Air Conditioning"",""Desktop Computers"",""LCD Projector and Screen""}","{""room images/PC Lab 1_a5b51b09""}",Reggie Pelayo,200.00,16,120.00,2024-05-02 08:55:01.440489+08,2024-05-02 20:27:55.246+08,
88dd05f0-8355-4750-a777-482daaf67cb6,PC Laboratory,PC Lab 2,"Reserve PC Lab 2 for your next event! With standard amenities and a functional layout, it is an ideal space for formal events. Equipped with basic seating and audiovisual resources, it provides a simple yet practical setting for successful gatherings.","{""Air Conditioning"",""Desktop Computers"",""LCD Projector and Screen""}","{""room images/PC Lab 2_c6de6822""}",Reggie Pelayo,200.00,24,120.00,2024-05-02 08:55:01.440489+08,2024-05-02 20:28:58.152+08,
e356debb-580c-4aa7-9b72-9b146eb6e66b,PC Laboratory,PC Lab 3,"Reserve PC Lab 3 for your next event! With standard amenities and a functional layout, it is an ideal space for formal events. Equipped with basic seating and audiovisual resources, it provides a simple yet practical setting for successful gatherings.","{""Air Conditioning"",""Desktop Computers"",""LCD Projector and Screen""}","{""room images/PC Lab 3_71519a53""}",Reggie Pelayo,200.00,24,120.00,2024-05-02 08:55:01.440489+08,2024-05-02 20:30:38.88+08,
8abe8078-0466-4bc9-bfc7-058ef0bd04cb,PC Laboratory,PC Lab 4,"Reserve PC Lab 4 for your next event! With standard amenities and a functional layout, it is an ideal space for formal events. Equipped with basic seating and audiovisual resources, it provides a simple yet practical setting for successful gatherings.","{""Air Conditioning"",""Desktop Computers"",""LCD Projector and Screen""}","{""room images/PC Lab 4_ec01b5f1""}",Reggie Pelayo,200.00,22,120.00,2024-05-02 08:55:01.440489+08,2024-05-02 20:32:11.074+08,
c2d035df-bb7f-44a3-9009-080e7400b595,PC Laboratory,PC Lab 5,"Reserve PC Lab 5 for your next event! With standard amenities and a functional layout, it is an ideal space for formal events. Equipped with basic seating and audiovisual resources, it provides a simple yet practical setting for successful gatherings.","{""Air Conditioning"",""Desktop Computers"",""LCD Projector and Screen""}","{""room images/PC Lab 5_06e90588""}",Reggie Pelayo,200.00,22,120.00,2024-05-02 08:55:01.440489+08,2024-05-02 20:33:32.073+08,
e48a9cd5-27b1-4880-9c71-0be4c074feb5,PC Laboratory,PC Lab 6,"Reserve PC Lab 6 for your next event! With standard amenities and a functional layout, it is an ideal space for formal events. Equipped with basic seating and audiovisual resources, it provides a simple yet practical setting for successful gatherings.","{""Air Conditioning"",""Desktop Computers"",""LCD Projector and Screen""}","{""room images/PC Lab 6_cceeb439""}",Romel Lawas,200.00,24,120.00,2024-05-02 08:55:01.440489+08,2024-05-02 20:34:23.412+08,
